surveyuniqueid;Field;FieldOther;Whatisyourcurrentemploymentstatus;Employment;Gender;YearBorn;PHD10OTHERWISE;AverageRBudget;GovernmentFunds;useofsc;importance;frequence_of_purch;importancePrice;costMostExpensive;Purchase_collab;in_charge_purchase;collaboration_withFirm;price_latest_purchase;functionality_better_thanPrice;aReputation_better_thanPrice;cBrand_better_thanPrice;aReputation_better_thanC_brand;cBrand_better_thanFunctionality;aReputation_better_thanFunctiona;IR_input_from_others;IR_colleagues;IR_technical_conferences;IR_salespersons;IR_written_info;IR_brand;IR_peer_review;IR_previous_use;Ref_peer_reviewed_j;Ref_star_scientist;Ref_high_impact;Ref_industry_coauthor;Ref_firm_coauthor;Ref_in_high_impact_expensiveVSch;IR_colleagues_expensiveVScheap;Patents;ICA_exploration;ICA_firm_creation;ICA_licensing_income;ICA_negotiation_use;ICA_other;ICA_none;sumofpositiveICAS;Papers_published;Impact_factor;@5y_Impact_factor;Publications_HJ;US1EU0;IfindinputfromcolleaguesthatIamcurrentlycollaboratingorhavecolla;Ifindinputfromtechnicalconferencesworkshopsandfairsreliable;Ifindsalespersonsfromthefirmproducingandsellingtheinstrumentreli;Ifindwritteninformationwebsitesbrochuresofthefirmproducingandsel;Ifindthebrandofthefirmproducingandsellingtheinstrumentreliable;Ifindreferencesinpeerreviewedpaperstobereliable;Ifindreferencesinpeerreviewedpapersinhighimpactjournalstoberelia;CompletionStatus;Starttime;Closetime;ResponseDays1beforereminder2after1streminderbefore2nd3after3rdre;Budget_dummy;Age_dummy;Gov_dummy;ICAS_patent;pricemostexp;Response_half;Age_dummy1977;Impact_dummy7;Professor_responsehalf;Assocprofessor_responsehalf;Assistprofessor_responsehalf;Postdoc_responsehalf;PhDstudent_responsehalf;Impact_dummy8;Impact_dummy9;Young_highimpact7;Young_lowimpact7;Young_highlowimpact7;Young_highimpact9;Young_lowimpact9;Young_highlowimpact9
327;5; ;Assistant professor;3;1;1974;1;2;4;1;1;3;1;4;3; ;2;4;2;2;3;1;5;4;1;2;3;1;1;2;3;2;2;3;3;5;4;4;4;0;0;0;1;0;0;0;1;26;38,59;38,15;1;1;1;2;3;2;2;2;2;Complete / Closed;41407,71262;41407,72109;2;1;0;2; ;2;0;0;1; ; ;1; ; ;1;1; ; ; ; ; ; 
133;4; ;PhD student;5;2;1987;0;2;4;1;1;2;2;4;1;4;1;4;1;2;3;2;3;3;2;2;3;2;4;3;2;1;2;2;2;2;2;2;1;0;0;0;0;0;0;1;0;1;5,69;5,76;1;1; ; ; ; ; ; ; ;Complete / Closed;41407,72026;41407,74652;2;1;0;2; ;2;1;1;0; ; ; ; ;2;0;0; ;1;1; ;1;1
261;1; ;Professor;1;1;1946;1;2;4;1;1;4;1;3;3; ;3;3;2;2;4;1;5;5;1;2;3;3;1;3;1;2;1;3;5;5;5;5;1;0;0;0;0;0;0;1;0;16;38,59;38,15;4;1; ; ; ; ; ; ; ;Complete / Closed;41407,72683;41407,73019;2;1;0;2; ;1;0;0;1;1; ; ; ; ;1;1; ; ; ; ; ; 
753;1; ;Post-doc;4;1;1974;1;1;3;1;1;2;3;3;1;2;3;2;2;4;4;4;4;4;3;3;3;2;1;3;3;3;4;4;4;4;4;4;2;0;0;0;0;0;1;0;1;0; ; ;1;1; ; ; ; ; ; ; ;Complete / Closed;41407,73579;41407,7395;2;0;0;2; ;1;0;0; ; ; ; ;1; ; ; ; ; ; ; ; ; 
584;4; ;PhD student;5;1;1986;0;2;3;1;1;1;2;4;3; ;2;2;1;3;4;1;5;5;2;2;2;4;3;3;3;2;1;3;3;4;4;3;2;0;0;0;0;0;0;1;0;6;15,76;16,4;1;1; ; ; ; ; ; ; ;Complete / Closed;41407,74271;41407,7498;2;1;0;2; ;2;1;1;1; ; ; ; ;2;1;1;2; ;2;2; ;2
2975;4; ;Professor;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;started but not completed;41407,79122; ;2; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
394;5; ;PhD student;5;2;1985;0;4;4;1;1;4;1;5;1;4;2;5;2;2;4;2;4;4;2;2;3;3;2;3;3;2;3;3;2;3;4;1;2;0;0;0;0;0;0;1;0;0; ; ; ;1;1;2;3;2;2;1;1;Complete / Closed;41407,87349;41407,87619;2;1;0;2; ;2;1;1; ; ; ; ; ;2; ; ; ; ; ; ; ; 
803;1; ;Associate professor;2;1;1970;1;2;4;1;1;4;3;5;1;1;3;1;1;4;4;2;4;5;1;1;3;4;2;3;4;4;5;5;5;5;5;3;1;0;0;0;0;0;0;1;0;10;7,94;7,43;6;1; ; ; ; ; ; ; ;Complete / Closed;41425,48003;41425,4834;3;1;0;2; ;2;1;0;1; ;2; ; ; ;0;0; ; ; ; ; ; 
456;4; ;Other;6;2;1962;1;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;Complete / Closed;41425,56611;41425,56731;3;0;0;1; ; ;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; 
69;5; ;Other;6;2;1943;1;1;1;1;1;5;1;2;1;2;2;2;2;2;2;2;4;3;2;1;4;2;2;2;3;2;2;4;4;4;4;3;2;0;0;0;0;0;0;1;0;1;31,03;33,587;1;1; ; ; ; ; ; ; ;Complete / Closed;41425,57498;41425,60851;3;0;0;1; ;1;1;0;1; ; ; ; ; ;1;1; ; ; ; ; ; 
67;1; ;PhD student;5;1;1990;0;1;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;Complete / Closed;41425,6114;41425,61198;3;0;0;2; ; ;1;1; ; ; ; ; ;2; ; ; ; ; ; ; ; 
690;4; ;Post-doc;4;1;1979;1;1;4;1;1;5;1;3;1;4;2;3;2;2;2;2;4;4;1;1;4;4;3;3;1;2;1;5;4;5;5;3;1;0;0;0;0;0;0;1;0;7;9,7;10,6;1;1; ; ; ; ; ; ; ;Complete / Closed;41425,68273;41425,70048;3;0;0;2; ;1;1;1;1; ; ; ;2; ;1;1;2; ;2;2; ;2
401;7;Biological Anthropology;Professor;1;1;1930;1; ;3;1;1;4;2;5;3; ; ; ;1;1;1; ; ; ;1;1;1;2;1;1;1;1;1;1;2;4;3;1;3;0;0;0;0;0;0;1;0;10;31,027;33,587;2;1; ; ; ; ; ; ; ;Complete / Closed;41426,03639;41426,04352;3; ;0;2; ;2;1;0;1;2; ; ; ; ;1;1; ; ; ; ; ; 
4873;1; ;Professor;1;2;1958;1;2;4;1;1; ; ;5;2;4; ; ;5;5;5;5;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;started but not completed;41426,43612; ;3;1;0;2; ;2; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2949;5; ;Associate professor;2;1; ;1;2;4;1;3;5;2;3;3; ;3;3;3;3;3;2;4;2;2;3;5;3;3;2;4;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;started but not completed;41428,88575; ;3;1;0;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
438;1; ;PhD student;5;1;1989;0;1;4;1;1;1;3;4;1;4;3;4;2;3;5;2;5;5;2;2;2;4;3;5;3;1;3;3;3;3;3;4;2;0;0;0;0;0;0;1;0;0; ; ;0;0;1;2;5;2;5;2;3;Complete / Closed;41396,75358;41396,75708;1;0;0;2; ;2;0;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
4506;5; ;Professor;1; ; ;1;2;3;1;1;5;2;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,7546; ;1;1;0;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
4508;2; ;Professor;1;1;1953;1;4;3;1;1;3;2;4;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,76154; ;1;1;0;2; ;2; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; 
102;1; ;Professor;1;2;1955;1;1;4;1;1;2;2;5;2;3;2;4;1;1;3;2;4;4;2;2;2;4;2;3;2;2;2;3;3;3;3;2;1;1;0;1;0;0;0;0;1;20;7,94;7,43;10;0;1;2;3;2;2;1;1;Complete / Closed;41396,76412;41396,76776;1;0;0;2; ;2;0;0;1;1; ; ; ; ;0;0; ; ; ; ; ; 
683;5; ;PhD student;5;1;1983;0;1;4;1;1;4;1;5;3; ;3;3;1;4;4;4;4;4;2;2;3;3;1;2;3;2;4;4;4;3;3;4;2;1;0;0;0;0;0;1;0;4;3,794;3,817;1;0; ; ; ; ; ; ; ;Complete / Closed;41396,78351;41396,79093;1;0;0;2; ;2;0;1;0; ; ; ; ;1;0;0; ;1;1; ;1;1
730;2; ;Professor;1;1;1948;1;2;3;1;2;3;2;4;3; ;2;4;2;2;1;2;4;2;1; ; ;2;2;3;4;3;5;5;5;4;5;4;1;1;1;0;0;0;0;0;1;50;38,59;38,15;4;0; ; ; ; ; ; ; ;Complete / Closed;41396,85932;41396,8635;1;1;0;2; ;2;0;0;1;1; ; ; ; ;1;1; ; ; ; ; ; 
209;1; ;Associate professor;2;1;1973;1;2;4;1;1;1;2;4;3; ;2;4;2;2;4;1;4;2;2;3;3;2;4;2;3;3;4;4;5;5;5;4;4;0;0;0;0;0;0;1;0;37;35,74;42,37;1;0; ; ; ; ; ; ; ;Complete / Closed;41396,93678;41396,94207;1;1;0;2; ;2;0;0;1; ;1; ; ; ;1;1; ; ; ; ; ; 
312;1; ;Post-doc;4;1;1977;1;1;4;1;1;2;2;3;1;1;2;3;2;2;3;2;4;4;1;2;3;3;1;3;2;2;2;4;3;5;4;3;2;1;0;0;1;1;0;0;2;20;23,56;23,231;1;0; ; ; ; ; ; ; ;Complete / Closed;41397,3925;41397,39729;1;0;0;2; ;1;0;1;1; ; ; ;1; ;1;1;2; ;2;2; ;2
398;1; ;Assistant professor;3;2;1970;1;2;1;1;1;5;1;4;1;1;2;4;4;4;2;1;4;4;2;2;3;3;3;3;4;1;3;3;3;3;2;4;4;0;0;0;0;0;0;1;0;10;13,73; ;1;0; ; ; ; ; ; ; ;Complete / Closed;41397,40171;41397,40702;1;1;0;1; ;2;0;0;1; ; ;1; ; ;1;1; ; ; ; ; ; 
480;6; ;PhD student;5;2;1985;0;1;4;1;1;3;1;2;3; ;2;2;1;2;3;2;4;3;3;2;4;3;2;2;3;1;3;3;3;3;4;2;2;0; ; ; ; ; ; ; ;0; ; ; ;0; ; ; ; ; ; ; ;Complete / Closed;41407,58914;41407,59379;2;0;0;2; ;1;0;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
231;5; ;Post-doc;4;1;1977;1;3;4;1;1;2;2;3;3; ;3;3;1;1;4;1;4;4;3;3;2;2;2;3;3;1;1;3;2;3;5;2;2;1;0;0;0;1;0;0;1;6;32,43;32,18;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,59174;41407,59539;2;1;0;2; ;1;0;1;1; ; ; ;1; ;1;1;2; ;2;2; ;2
311;1; ;Other;6;1;1956;0;1;4;1;1;2;1;3;3; ;2;3;2;3;2;3;4;4;2;3;3;4;4;3;4;3;4;4;4;5;5;3;1;0;0;0;0;0;0;1;0;5;4,59;4,55;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,61413;41407,63226;2;0;0;2; ;1;0;0;0; ; ; ; ; ;0;0; ; ; ; ; ; 
684;1; ;Professor;1;1;1959;1;2;4;1;1;2;2;4;1;2;2;4;2;4;2;4;4;4;2;2;2;3;2;2;3;2;3;3;3;3;3;3;2;1;0;1;0;1;1;0;3;40;38,59;38,15;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,61671;41407,6213;2;1;0;2; ;2;0;0;1;1; ; ; ; ;1;1; ; ; ; ; ; 
5002;5; ;Post-doc;4;1;1984;1;1;4;1;1;2;2;3;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41407,626; ;2;0;0;2; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
561;2; ;Professor;1;2;1952;1;3;3;1;1;1;2;4;1;2;2;3;2;2;4;2;4;4;1;1;1;1;1;1;3;3;3;3;3;3;3;3;2;1;0;1;1;1;1;0;4;25;13,02;14,13;1;0;2;3;4;4;2;4;4;Complete / Closed;41407,64399;41407,65033;2;1;0;2; ;2;0;0;1;1; ; ; ; ;1;1; ; ; ; ; ; 
210;1; ;Professor;1;1;1962;1;3;1;1;1;2;2;3;1;2;2;3;2;3;4;1;4;3;3;2;2;5;4;4;3;2;2;2; ;3;4;3;3;1;0;0;0;0;1;0;1;15;1,71;2,16;2;0;2;3;5;4;3;3;2;Complete / Closed;41407,70796;41407,71138;2;1;0;1; ;1;0;0;0;1; ; ; ; ;0;0; ; ; ; ; ; 
599;1; ;Professor;1;2;1957;1;3;2;1;1; ;2;4;1;2;2;4;2;4;4; ; ; ;2;2;2;2;2;3;1;2;2;2;2;2;3;2;1;1;0;0;0;1;0;0;1;60; ; ;5;0; ; ; ; ; ; ; ;Complete / Closed;41407,73106;41407,73526;2;1;0;1; ;2;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; 
598;1; ;Post-doc;4;1;1981;1;1;1;1;1;3;2;4;1;2;3;3;1;5;4;3;5;5;2;2;3;2;1;3;3;3;4;3;3;5;4;4;4;1;0;0;0;0;0;1;0;19;13,02;14,13;4;0; ; ; ; ; ; ; ;Complete / Closed;41407,93802;41407,94583;2;0;0;1; ;2;1;1;1; ; ; ;2; ;1;1;2; ;2;2; ;2
5666;1; ;Associate professor;2;1;1964;1;1;4;1;1;5;2;5;2;4;2;4;2;2;3;2;5;4;1;2;3;3;3;3;4;3;2;3;3;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41408,40427; ;2;0;0;2; ;2; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; 
309;1; ;Professor;1;1;1956;1;3;2;1;1;4;1;4;2;2;3;1;2;2;4;1;5;4;2;2;3;3;3;3;3;2;2;2;2;3;4;3;1;0;0;0;0;0;0;1;0;22;38,59;38,15;2;0; ; ; ; ; ; ; ;Complete / Closed;41408,61148;41408,61569;2;1;0;1; ;2;1;0;1;2; ; ; ; ;1;1; ; ; ; ; ; 
211;1; ;PhD student;5;1;1984;0;2;4;1;1;3;4;4;1;2;3;2;1;2;3;2;5;4;2;2;4;3;1;3;4;2;3;5;4;5;4;3;2;0;0;0;0;0;0;1;0;3;9,7;10,6;1;0;1;3;3;2;3;2;2;Complete / Closed;41413,65903;41413,66446;2;1;0;2; ;2;1;1;1; ; ; ; ;2;1;1;2; ;2;2; ;2
483;1; ;PhD student;5;1;1984;0;1;4;1;1;4;2;3;3; ;3;3;1;2;4;3;4;4;2;2;3;3;3;3;2;2;1;3;2;3;3;2;2;0;0;0;0;0;0;1;0;0; ; ; ;0; ; ; ; ; ; ; ;Complete / Closed;41425,48622;41425,49072;3;0;0;2; ;1;1;1; ; ; ; ; ;2; ; ; ; ; ; ; ; 
489;1; ;Professor;1;1;1957;1;3;4;1;1;2;2;4;1;1;2;4;2;2;4;2;4;4;2;3;3;3;3;3;3;2;3;3;3;3;3;4;4;0;0;0;0;0;0;1;0;90;13,02;14,13;1;0; ; ; ; ; ; ; ;Complete / Closed;41425,50415;41425,51278;3;1;0;2; ;2;1;0;1;2; ; ; ; ;1;1; ; ; ; ; ; 
558;5;Petroleum Engineering;PhD student;5;2;1988;0;3;3;1;2;3;3;4;3; ;3;3;1;1;2;1;4;2;1;1;3;5;4;2;3;1;3;3;3;2;1;4;3;0;0;0;0;0;0;1;0;1;38,59;38,15;0;0; ; ; ; ; ; ; ;Complete / Closed;41425,50422;41425,50957;3;1;0;2; ;2;1;1;1; ; ; ; ;2;1;1;2; ;2;2; ;2
641;5; ;PhD student;5;1;1985;0;1;2;1;1;1;2;4;3; ;3;1;2;2;3;2;4;2;2;2;3;4;3;3;3;2;2;2;2;4;4;3;2;0;0;0;0;0;0;1;0;1;2,54;2,33;1;0; ; ; ; ; ; ; ;Complete / Closed;41425,524;41425,52978;3;0;0;1; ;2;1;1;0; ; ; ; ;2;0;0; ;1;1; ;1;1
597;1; ;Professor;1;1;1961;1;3;1;1;1;4;1;4;1;2;3; ;5;1;5;1;5;1;2;2;5;5;3;4;2;1;1;3;1;4;5;5;4;0; ; ; ; ; ; ; ;30;2,21;2,22;3;0; ; ; ; ; ; ; ;Complete / Closed;41425,52963;41425,53432;3;1;0;1; ;2;1;0;0;2; ; ; ; ;0;0; ; ; ; ; ; 
643;1; ;Professor;1;1;1958;1;2;2;1;1;4;1;4;3; ;3;4;1;2;5;1;5;5;2;2;4;5;5;3;4;1;5;5;5;5;5;3;3;0;0;0;0;1;0;0;1;15;31,03;33,59;1;0; ; ; ; ; ; ; ;Complete / Closed;41425,55457;41425,55956;3;1;0;1; ;2;1;0;1;2; ; ; ; ;1;1; ; ; ; ; ; 
482;5; ;Post-doc;4;1;1982;1;1;1;1;1;4;1;4;1;4;3;1;1;1;3;2;2;2;2;2;2;2;2;2;2;2;1;1;1;3;3;3;2;1;0;0;0;0;0;1;0;6;9; ;2;0;1;1;2;3;2;2;2;Complete / Closed;41425,82261;41425,82891;3;0;0;1; ;2;1;1;1; ; ; ;2; ;1;1;2; ;2;2; ;2
2267;1; ;Professor;1;1;1958;1;4;3;1;2;4;1;3;1;3;2;3;2;4;5;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41425,9332; ;3;1;0;2; ;1; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; 
213;1; ;Professor;1;1;1947;1;4;2;1;1;4;3;3;2;3;3;3;1;2;3;2;5;5;3;2;2;4;3;2;3;2;2;2;2;3;5;2;2;0;0;0;0;0;0;1;0;20; ; ;10;0; ; ; ; ; ; ; ;Complete / Closed;41428,66515;41428,67353;3;1;0;1; ;1;1;0; ;2; ; ; ; ; ; ; ; ; ; ; ; 
396;1; ;Professor;1;1;1964;1;3;2;1;1;3;3;3;1;2;3;2;2;2;2;2;4;4;3;3;4;4;2;2;4;3;4;4;4;3;5;2;2;1;0;0;1;1;1;0;3;28;3,22; ;30;0; ; ; ; ; ; ; ;Complete / Closed;41429,35276;41429,35903;3;1;0;1; ;1;1;0;0;2; ; ; ; ;0;0; ; ; ; ; ; 
292;5; ;Assistant professor;3;2;1972;1;1;4;1;1;5;2;4;3; ;3; ;2;2;3;2;4;3;3;2;3;3;4;4;3;3;2;3;2;3;4;3;2;0;0;0;0;0;0;1;0;4;15,28;14,9;1;1; ; ; ; ; ; ; ;Complete / Closed;41400,94408;41400,94888;1;0;0;2; ;2;0;0;1; ; ;1; ; ;1;1; ; ; ; ; ; 
334;1; ;Associate professor;2;2;1969;1;2;4;1;1;5;2;4;2;4;3;4;4;4;4;4;4;4;1;1;3;1;2;3;3;2;4;5;5;5;5;4;1;0;0;0;0;0;0;1;0;12;10,67;10,23;3;1;2;2;2;2;2;2;3;Complete / Closed;41401,94941;41401,95197;1;1;0;2; ;2;0;0;1; ;1; ; ; ;1;1; ; ; ; ; ; 
221;5; ;Professor;1;1;1949;1;3;4;1;1;3;2;4;3; ;3;3;2;2;2;2;4;4;2;2;3;3;4;3;4;4;3;4;3;4;4;2;2;1;0;0;0;0;0;1;0;45; ; ;3;1; ; ; ; ; ; ; ;Complete / Closed;41407,70506;41407,71139;2;1;0;2; ;2;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; 
709;1; ;Associate professor;2;2;1966;1;2;4;1;1;5;1;4;3; ;2;4;4;4;5;2;5;5;3;3;5;4;4;4;4;2;5;4;5;5;5;4;2;1;0;0;0;0;0;1;0;10;10,67;10,23;3;1; ; ; ; ; ; ; ;Complete / Closed;41407,70584;41407,70969;2;1;0;2; ;2;0;0;1; ;1; ; ; ;1;1; ; ; ; ; ; 
73;7;Biomechanics;Professor;1;1;1948;1;2;1;1;1;5;1;4;1;2;3;4;2;4;4;4;4;4;3;3;3;2;3;4;3;1;3;2;4;5;3;4;2;0;0;0;0;0;0;1;0;260;38,59;38,15;5;0; ; ; ; ; ; ; ;Complete / Closed;41396,75502;41396,76122;1;1;0;1; ;2;0;0;1;1; ; ; ; ;1;1; ; ; ; ; ; 
689;2; ;Post-doc;4;1;1985;1;1;4;1;1;2;1;4;1;2;2;3;1;2;4;1;5;3;2;2;2;3;3;4;2;1;2;2;2;5;5;4;1;0;1;0;0;0;0;0;1;15;14,82;13,86;4;0; ; ; ; ; ; ; ;Complete / Closed;41396,75615;41396,75951;1;0;0;2; ;2;0;1;1; ; ; ;1; ;1;1;2; ;2;2; ;2
487;6; ;Assistant professor;3;1;1972;1;2;1;1;1;3;2;3;3; ;1;3;1;2;4;2;5;5;1;1;3;3;3;2;2;1;1;5;3;5;5;4;1;1;0;0;1;0;0;0;1;20;31,95;34,36;1;0;1;2;1;2;1;2;1;Complete / Closed;41396,75831;41396,76059;1;1;0;1; ;1;0;0;1; ; ;1; ; ;1;1; ; ; ; ; ; 
4871;7;Geoscience;Post-doc;4;2;1977;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,7607; ;1; ;0; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
3819;7;earth sciences;Post-doc;4;1;1982;1;1;3;1;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,76393; ;1;0;0;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
3;1; ;PhD student;5;1;1987;0;2;2;1;1;4;2;4;1;4;2;2;1;3;2;3;5;2;3;2;3;4;4;2;4;1;2;4;4;4;3;2;3;0;0;0;0;0;0;1;0;7;4,59;4,55;1;0; ; ; ; ; ; ; ;Complete / Closed;41396,7706;41396,77668;1;1;0;1; ;2;0;1;0; ; ; ; ;1;0;0; ;1;1; ;1;1
149;1; ;PhD student;5;1;1981;0;1;3;1;1;3;1;4;2;4;2;3;2;4;4;3;5;5;2;2;3;3;2;4;2;1;3;3;3;3;3;4;2;0;0;0;0;0;0;1;0;1; ; ;1;0; ; ; ; ; ; ; ;Complete / Closed;41396,77081;41396,77683;1;0;0;2; ;2;0;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
2430;1; ;PhD student;5;1;1988;0;1;4;1;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,77345; ;1;0;0;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
72;1; ;PhD student;5;1;1983;0;2;3;1;1;4;1;2;1;4;3;2;2;2;3;2;3;3;2;3;2;2;2;2;3;3;3;2;2;4;2;5;1; ;0;0;0;0;0;1;0; ;13,73; ;1;0; ; ; ; ; ; ; ;Complete / Closed;41396,78857;41407,60344;1;1;0;2; ;1;0;1;1; ; ; ; ;1;1;1;2; ;2;2; ;2
399;7;Geoscience;Post-doc;4;1;1980;1;1;4;1;1;5;1;5;2;4;2;1;4;4;5;2;5;4;2;2;2;3;3;3;2;2;2;2;2;3;3;2;2;0;0;0;0;0;0;1;0;11;11,9;12,3;1;0;2;1;3;3;2;2;2;Complete / Closed;41396,7995;41396,80381;1;0;0;2; ;2;0;1;1; ; ; ;1; ;1;1;2; ;2;2; ;2
153;1; ;Post-doc;4;2;1983;0;2;1;1;1;2;1;3;1;2;3;2;1;2;2;2;5;5;3;1;4;3;1;2;5;2;5;4;4;4;5;5;5;0;0;0;0;0;0;1;0;8; ; ;1;0; ; ; ; ; ; ; ;Complete / Closed;41396,8211;41396,82601;1;1;0;1; ;1;0;1; ; ; ; ;1; ; ; ; ; ; ; ; ; 
263;7;psychology;Other;6;1;1981;0;1;4;1;1;3;2;3;3; ;3; ;1;3;4;1;5;4;2;2;4;3;2;3;4;2;3;4;3;4;4;3;2;0; ; ; ; ; ; ; ;3; ; ; ;0; ; ; ; ; ; ; ;Complete / Closed;41396,83315;41408,38591;1;0;0;2; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
150;7;Environmental studies;PhD student;5;2;1982;0;2;4;1;2;3;3;4;1;2;1;4;1;4;5;2;5;5;2;2;3;2;2;2;3;4;2;3;3;5;5;2;4;0;0;0;0;0;0;1;0; ; ; ; ;0; ; ; ; ; ; ; ;Complete / Closed;41396,9301;41396,93435;1;1;0;2; ;2;0;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
845;7;Geoscience;Post-doc;4;2;1975;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,94473; ;1; ;0; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; 
781;1; ;Post-doc;4;1;1980;1;2;4;1;1;4;1;4;2;2;3;4;4;2;4;4;4;4;3;3;3;4;4;2;3;1;3;3;3;3;3;3;2;0;0;0;0;0;0;1;0;10;6,378;6,22;2;0; ; ; ; ; ; ; ;Complete / Closed;41396,94611;41396,94977;1;1;0;2; ;2;0;1; ; ; ; ;1; ;0;0; ; ; ; ;1;1
4868;7;Geoscience;Other;6;1;1987;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,99029; ;1; ;0; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1988;1; ;Post-doc;4;2;1984;1;1;4;1;1;4;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41397,36054; ;1;0;0;2; ;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
485;7;Material Science;PhD student;5;2;1985;0;2;4;1;1;1;1;4;3; ;3;1;2;4;4;2;5;3;3;1;3;3;2;2;4;2;4;3;3;5;5;3;1;0;0;0;0;0;0;1;0;2;4,65;5,07;1;0; ; ; ; ; ; ; ;Complete / Closed;41397,37339;41397,37712;1;1;0;2; ;2;0;1;0; ; ; ; ;1;0;0; ;1;1; ;1;1
